Products,ProductName,CompanyName,Price
10170,"Numax 23-gauge 1"" Micro Pinner",Affinia Group,135.39
10171,Lincoln Lubrication Ac2440 120-volt Corded Grease Gun,Becton,
10172,12-volt Lith-ion Max Drill W/bonus Tools Set & Bag,Rowan Companies,340.83
10173,Hitachi 83-piece Drill And Driver Bit Set,Michaels Stores,882.02
10174,Black & Decker Smart Select Linefinder Orbital Jigsaw,,
10175,Bosch 7292-02 2 Amp 1/4 Sheet Palm Sander,Fluor Corporation,533.95
10176,Multi-temp Hybrid Cordless Glue Gun,Cabot Corporation,667.74
10177,Skil 120v 1-3/4 Hp Fixed Base Router,,
10178,Bostitch 6 Gallon,,
10179,Jewelers Chasing Hammer - 1 Inch Head - Metal Smithing,Yum! Brands,275.5
10180,Eclipse 900-066n 50w Soldering Station,Usg Corporation,976.6
10181,"Bostitch 7 Amp 4.5"" Angle Grinder",,
10182,Imaginisce I-bond Mini Glue Sticks,,
10183,Radnor #7326 1/4 Id Brass Hose Ferrule,Mdu Resources Group,487.61
10184,Homak 2 Door Mobile Cabinet With Shelves,Agilent Technologies,875.52
10185,Ingersoll Rand 1/2 Titanium Imp Wr W/2 Ext,Automatic Data Processingorporated,457.48
10186,Swisher 28 Ton 8.75 Gross Torque Log Splitter,,
10187,Bostitch 37-piece Quick Load Screwdriving Set,,
10188,Black & Decker 12-volt Cordless Air Station Inflator,Pc Connection,24.98
10189,Black & Decker 18v Cordless Drill,Discovery Communications,878.29
10190,Ingersoll Rand Avc10-183a Rivet Set Retainer Q-c,Expedia,272
10191,Skil 4v Max Lithium-ion Screwdriver,,
10192,Vermont American 7 To 7-1/4 Masonry Circular Saw Blades 28052,Casey's General Stores,346.79
10193,Fry Technologies Cookson Elect Am33505 50/50 Solder Solid Wire,Usg Corporation,611.36
10194,Audiopipe Thsy3075c Pipeman Train Horn Air Compressor,T. Rowe Price,125.46
10195,Hitachi 17 Piece Split Point Black Oxide Shield Drill Bit Set,Priceline.com,43.8
10196,Hitachi 18 V Ni-cad Cordless Driver Drill,Dell,720.51
10197,Campbell Hausfeld Exteme Duty 3/8 Air Ratchet,Abercrombie & Fitch Co,356.06
10198,Master Magnetics 7269 36-inch Retrieval Magnet,Mckesson Specialty Health,226.78
10199,Buffalo Tools Sportsman Work Table,Supermedia,409.42
10200,California Air Tools 6.3 Gallon Ultra Quiet And Oil-free 1.0 Hp Steel Tank Air Compressor,National Oilwell Varco,505.95
10201,Sharpe Manufacturing 6765-1 Replacement Dessicant Beads - 5 Lb.,Sonic Automotive,228.76
10202,Lincoln Industrial 14.4 Volt Powerlube Kit - 2 Battery,Fred's,438.01
10203,Dremel 7-piece Saw-max Cutting Kit,,
10204,Powermate 30 Gallon Cast Iron Oil Lubricated Belt Drive Industrial Air Compressor,Mutual Of America Life Insurance Company,552.48
10205,Wagan 3-in-1 275 Psi Air Compressor,Charming Shoppes,997.68
10206,Dremel 7300-n/5 4.8v Minimite Cordless Rotary Tool,Cytec Industries,958.28
10207,I-bond Cordless Hot Glue Gun,,
10208,Edsal Heavy-duty Workbench,,
10209,Black & Decker Matrix Sanding Head Attachment,,
10210,"Hitachi 1 1/2"" 18-gauge Narrow Crown Finish Stapler",Flowserve Corporation,821.49
10211,Primefit 30-piece Air Compressor Accessory Kit,Securian Financial,267.36
10212,Great Neck Saw 17612 Soldering Iron,Bucyrus International,827.21
10213,Dremel 200-n/15 120v 2-speed Rotary Tool,The Clorox Company,978.29
10214,Morris Products 2 Carbide Tipped High Speed Steel Hole Saw Cutters,Citigrouporporated,52.32
10215,Bostitch 1-1/2 Air Pressure Gauge,,
10216,Ad-tech: High-temp Glue Sticks,,
10217,Numax 16-gauge Straight Finish Nailer,Perrigo Company,986.24
10218,"Skil 6277-02 3/8"" Corded Drill",Cinemark Usa,576.31
10219,Dremel 7300-n/8 4.8-volt Cordless Dremel Minimite Two Speed Rotary Tool,Lpl Financial,348.25
10220,Bostitch 26 Gallon,,
10221,Powermate 6 Gallon Proforce Pancake Air Compressor With Extra Value Kit,Nacco Industries,197.62
10222,Drill America Flame Carbide Burr 1/4 Shank,Colgate-palmolive Company,181.5
10223,"Stalwart 0.5"" Chuck Hammer Drill",Amerisourcebergen,995.68
10224,Wen 6 Waxer/polisher,Protective Life Corporation,460.24
10225,"Porter Cable 352vs 3"" X 21"" Variable Speed Belt Sander",Duane Reade,749.33
10226,Eclipse Dp-366d Desoldering Pump,Stryker Corporation,63.14
10227,"Bostitch 18v Lithium .25"" Hex Chuck Impact Driver Kit",,
10228,Atd Tools 8294 Arbor For Cutoff Discs Mandrel,Thermo Fisher Scientific,963.63
10229,Campbell Hausfeld 3.5 Round-head Framing Nailer Kit (21 Degree),The Timken Company,24.07
10230,Fry Technologies Cookson Elect Am53945 Flo-temp Lead-free Solid Wire Solder,The Aes Corporation,550.72
10231,Black & Decker 6.0 Amp Accu-trak Saw With Smartselect,,
10232,"Black And Decker 3/8"" 6-amp Variable Speed Drill With Keyless Chuck",Knights Of Columbus,977.44
10233,Dremel 225-01 Flex Shaft,Urs Corporation,887.39
10234,"Bosch/rotozip/skil 2354-02 4-volt I "" X 03 Cordless Screwdriver",Crane Co,23.07
10235,Homeright Heat Pro Plus Heat Tool,Leggett & Plattorporated,44.89
10236,"Hitachi 1 3/8"" 23 Gauge Pin Nailer",W. R. Berkley Corporation,399.15
10237,Comstar 10-100 Copper Lock No-heat Solder - 2 Oz.,Covanta Holding Corporation,228.25
10238,Black & Decker 58-piece Project Kit With 12v Lithium Drill/driver,,
10239,Stalwart 74-piece Combo 12-volt Cordless Drill And 3.6-volt Drivers Set,Lorillard,628.07
10240,Dremel 709-01 110 Pc Super Accessory Kit,Gm Financial,993.81
10241,Masterflow 12v Portable Air Compressor / Inflator,Regions Financial Corporation,732.04
10242,Dremel Universal Drywall Jab Saw Blade,,
10243,Bostitch Industrial Air Tool Swivel Plug,,
10244,"Black & Decker 5.2a 3.25"" Planer Kit",,
10245,"Rockwell Shopseries 13 Amp 7 1/4"" Circular Saw",Univision Communications,265.61
10246,Dremel Mm610 Flexible Scraper Blade,General Mills,743.26
10247,Labor Saving Devices 60/40 Solder Roll,Resolute Forest Products,600.41
10248,Campbell Hausfeld 8gal Oil Free Air Compressor,The Impac Companies,583.94
10249,Eclipse Pz2x1-15/16 Bit Pozidrive Size 2 1-15/16in Long 1/4in Hex,Colgate-palmolive Company,922.43
10250,Black And Decker 3.6 Volt Lithium Ion Screwdriver,,
10251,Great Neck Saw 80134 36-piece Rotary Tool Set,Best Buy Co.,360.17
10252,Shark Sr062-10 Ammco Style 10 Pack Negative Rake Bits,Citrix Systems,305.09
10253,Black & Decker 16v Max Lithium Cordless Driver/drill With Exposed Gear Box,,
10254,Bosch Pr20evsk Colt Variable Speed Palm Router Kit,Goldman Sachs,300.73
10255,Ingersoll Rand Ring / Gasket Kit For Ss5 Electric Units,Southwest Gas Corporation,5.33
10256,Bosch 2250-01 14.4 Volt Single Speed Cordless Drill And Driver,Boston Scientific Corporation,601.53
10257,Bostitch Low-profile Paper Tape Framing Nailer,,
10258,Dual-temp Ultra Glue Gun,,
10259,Skil 1400-02 Multi-tasker 2.0a Oscillating Tool Kit,Henry Schein,946.75
10260,Weller Battery Powered Soldering Iron Kit,Cvr Energy,458.67
10261,Alton 2 Gallon Pancake Air Compressor,General Growth Properties,739.85
10262,"Superior Tool 2"" Pvc Pipe Cutter",Expedia,90.04
10263,Hitachi 12v Peak Li-ion 2 Speed Drill/driver,Enersys,622.13
10264,Metabo W8-115qwc Compact Class Professional Series Angle Grinder,,
10265,Professional Woodworker Pneumatic Brad Nailer And Air Stapler Combo Tool Kit,John Deere Company,315.88
10266,"Electric Glue Skillet 7""",National Life Group,859.31
10267,Ad Tech Designer Series Lo Temp Mini Glue Gun,,
10268,Rsr Electronics Zd98 Soldering Station,Benchmark Electronics,770.25
10269,Lumberjack Tools Hsk3 Home Series 3-piece Master Kit,Rockwell Collins,767.4
10270,Campbell-hausfeld Mp5142 Air Chuck With Gauge,Merck & Co,284.23
10271,Prevost Isc 061201 Safety Coupler 1/4 In M Style,Nationwide Insurance Company,236.8
10272,Boa Grabit Screw Extractor,Tutor Perini Corporation,83.12
10273,Homeright Heat Pro Deluxe Ii Heat Tool,Leggett & Plattorporated,659.26
10274,Black & Decker Heat Gun,Plexus,168.47
10275,Bostitch 18v Lithium Drill/impact Combo Kit And Bonus 25-piece Impact Set Bundle,Pvh Corporation,136.82
10276,"Black And Decker 3/8"" 5-amp Variable Speed Drill With Keyless Chuck",,
10277,"Cadet 66"" Work Surface",,
10278,Hitachi 3.25 Framing Nailers Nr83a2,Core-mark International,226.73
10279,Lumberjack Tools Trh2000 2in Home Series Tenon Cutter,Omnicom Group,674.76
10280,Black & Decker Random Orbit Sander,,
10281,Campbell Hausfeld General Purpose Spray Gun,Cabot Corporation,165.91
10282,Ultra Steel 6v Cordless Drill,Curtiss-wright Corporation,322
10283,Ultra Steel 4-piece 18v Cordless Power Tool Kit,Cerner Corporation,742.51
10284,Drill America Cone Carbide Burr 1/4 Shank,American Tire Distributors,811.38
10285,"Bostitch .5"" Vsr 2-speed Hammerdrill/drill",,
10286,Dremel 160-piece Accessory Kit,,
10287,Wen 7 Sander And Polisher,Avis Budget Group,533.25
10288,"Skil 9295-01 4-1/2"" Angle Grinder",Pvh Corporation,798.61
10289,Weller Welwes51 Analog Soldering Station With Power Unit,,
10290,Wagner 0283022c Ht775 Heat Gun,Southern Company,471.05
10291,Primefit 17-piece Air Compressor Accessory Kit,Abbott Laboratories,856.62
10292,Century Drill And Tool Jig Saw Blade (set Of 5) (set Of 5),Acuity Brands,358.68
10293,Dewalt Dwt-dck212s2 12v Max Drill,,
10294,50 Air Hose Reel,Zale Corporation,424.98
10295,Ingersoll Rand 107xpa 3/8-inch Drive Air Ratchet,The Affluent Traveler,638.16
10296,Campbell Hausfeld Air Compressor Oil - 16 Ounce,Markel Corporation,975.67
10297,Black And Decker Platinum 20v Drill/driver With 2 Batteries,,
10298,"Hitachi 4"" 5 Amp Angle Grinder",Sally Beauty,660.82
10299,Bostitch 6 Amp Orbital Jig Saw And Bonus Jig Saw Blade Bundle,Medical Mutual Of Ohio,319.74
10300,"Black & Decker 6.5a .5"" Vsr 2-speed Hammer Drill",,
10301,California Air Tools 10 Gallon Ultra Quiet And Oil-free 2.0 Hp Steel Tank Air Compressor,Markel Corporation,715.85
10302,Eclipse Ss-206e Temperature Controlled Soldering Station With Analog Display,Martin Marietta Materials,79.8
10303,Bosch 2240-01 12 Volt Cordless Drill And Driver,Pharmerica Corporation,587.78
10304,Dual-temp Mini Glue Gun Kit,,
10305,Fpc Dual-temp Glue Gun Kit,State Street Corporation,48.81
10306,Fpc Glue Sticks,,
10307,Black & Decker 56-piece Project Kit With 7.2v Lithium Drill/driver,,
10308,Eclipse 900-015 Helping Hands Soldering Aid,Casey's General Stores,855.27
10309,Fpc Corporation Hot Melt Glue Sticks Fprdt20,Paccar,703.04
10310,Pro-lift W-1010a 10-gallon Air Tank,Baker Hughesorporated,583.19
10311,Hitachi 18v Cordless Compact Pro Driver Drill With Flashlight,O'reilly Automotive,897.63
10312,Motor Trend Cpm-0610 110-volt Ac Home Air Compressor,Crane Co,984.09
10313,Campbell Hausfeld 2-1/2 Finish Nailer (16 Gauge),Tenet Healthcare Corporation,649.03
10314,"Hitachi Power Tools Fdv16vb2 5/8"" Hammer Drill Vsr",Buckeye Partners,775.07
10315,Gmc Power Equipment 1.6 Gallon Gmc Syclone 1675a Ultra Quiet And Oil-free Air Compressor,Sonic Automotive,253.49
10316,Buffalo Tools Ps07499 24-piece Router Bit Set,Netapp,68.16
10317,Black & Decker Matrix Jig Saw Head Attachment,,
10318,Arrow Fastener Dual Purpose Stapler,Sherwin-williams,699.58
10319,Skil 4570-01 18-volt Jigsaw,Magellan Health Services,70.42
10320,Dremel 8v Max Cordless Rotary Tool,,
10321,"Rockwell Shopseries 4-1/2"" Angle Grinder",Sra International,919.14
10322,"Bostitch 18v Lithium 1/2"" Drill/driver Kit And Bonus Drill Bit Set Bundle",West Corporation,287.22
10323,Black & Decker 18v Cordless Drill Set,,
10324,Ingersoll Rand 285b-6 Heavy-duty 1-inch Impact Wrench With 6-inch Anvil,Avnet,336.79
10325,Skil Mag77lt 7-1/4in 15 Amp Circular Saw,Exterran Holdings,295.3
10326,Skil 4-1/2 Angle Grinders - 4 1/2 Angle Grinder With Metal Front 6 Amp,Foot Locker,185.52
10327,Wolo Manufacturing 800compressor Model 800 Tiger 2. 5 Liter Tank And Air Compressor,Cno Financial Group,237.45
10328,Kawasaki Composite Air Hammer Kit,Freeport-mcmoran Copper & Gold,784.71
10329,Bostitch 2.5 Gallon,,
10330,Ingersoll Rand Hammer Pin,Applied Industrial Technologies,476.78
10331,Ingersoll Rand 1/2 Air Impact Wrench 231ha,Southwest Airlines Corporation,342.39
10332,Eclipse 900-250 Solder Aid Tool Set W/reverse Tweezers And Heat Sink,Republic Services,935.73
10333,"Black & Decker 15a 7.25"" Fatmax Circular Saw",Rockwell Collins,41.07
10334,"Ad Tech Multi-temp Standard 10"" Glue Sticks",,
10335,"Hitachi 3/8"" 6 Amp Drill With Keyless Chuck",Kbr,395.05
10336,"Ad Tech Multi-temp Full Size 4"" Glue Sticks",,
10337,Black & Decker 1375w Heat Gun,National Fuel Gas Distribution Corporation,531.95
10338,Campbell Hausfeld 3-gallon Compressor,Union Pacific Corporation,370.99
10339,California Air Tools 1.6 Gallon Ultra Quiet And Oil-free 1/2 Hp Aluminum Tank Air Compressor,Bed Bath And Beyond,1.86
10340,Dremel Saw-max Tool Kit,,
10341,Gorilla Rack 4 Ft. Heavy-duty Workbench,Centurylink,36.53
10342,Numax 3-in-1 Flooring Nailer,Hormel Foods Corporation,869.77
10343,Diteq Gasket Core Drills Accessories,Mueller Industries,316.62
10344,"Powryte 3/8"" X 50 Hybrid Air Hose",Affinia Group,241.44
10345,"Skil 7-1/4"" 40-tooth Carbide Tipped Circular Saw Blade",,
10346,Black & Decker Lithium Saw,,
10347,Hitachi 18v Lithium Ion Driver Drill,Duke Energy Corporation,376.82
10348,"Black And Decker 1/2"" 7-amp Variable Speed Drill",,
10349,Custom Accessories 59008 250-psi Compressor,Allegheny Energy,368.45
10350,Campbell Hausfeld 1 Gallon Air Compressor,Computer Sciences Corporation,70.44
10351,Wagner Ht1000 Heat Tool Wagner Ht1000 Heat Tool,Briggs & Stratton Corporation,84.12
